phrase,prompt
When I remember her I feel down,Emotional pain
I'm i'm feeling so cold,Feeling cold
every time iodine expression to left iodine feel angstrom sharp pain inch my neck.,Neck pain
"[""i can ' t see #ePl""]",Blurry vision
Even though I'm an adult my face breaking out in pimples.,Acne
I joint leg try pain when arm my bend to i get or my i,Joint pain
How do you know if you have a torn meniscus in your knee?,Knee pain
I need to water my plants,out of context
I was kicked in the head soccer last night.,Injury from sports
time all letters the are reading I'm hard because having fuzzy a,Blurry vision
My head is so heavy can't think normally,Head ache
"[""I ' m not feeling hoos I get ijfwctJon wo8nc""]",Infected wound
"laceration, rupture Oregon opening inch the skin",Open wound
i cant sleep because of cough,Cough
My sore looks like its not healing well. expression,Infected wound
my hair falling out,Hair falling out
"['My h$qd jurtx and I >osw the Xensat(oM in my fWve, then lose w9ght in my eye']",Head ache
ears. my there's in I fluid think,Ear ache
I elbows and a in stiffness my shoulders fell,Joint pain
I have an ear ache that won't go away. I don't have a cold or headache or any other ache symptoms. Just an earache.,Ear ache
feel pain in my joint after an injury in the last football match played.,Joint pain
"[""I ' m not toof i ' m f2e<jng so folR""]",Feeling cold
iodine rich_person angstrom pain inch my joint,Joint pain
My shoulder aches when I try to lift five pounds.,Shoulder pain
pain a trapes have i in my,Muscle pain
I when I things,Back pain
doomed my key iodine yesterday.,out of context
out was my i hair washing was it falling heavily when,Hair falling out
There is pain my I can not bear pain,Joint pain
My lower_berth back injury merely information_technology better if iodine stretch information_technology,Muscle pain
The rain tomorrow. forecast predicts weather,out of context
['I have wgoulEer 9Sin when I try to cwr5y my grode4ieX.'],Shoulder pain
head I My to hurts whenever do try something.,Head ache
['My ear BurtQ #hsn I toufj it.'],Ear ache
abdominal muscles have great pain since i was GYM,Muscle pain
When I'm tire iodine feel my head heavy,Head ache
I had a cold have the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
"[""I hhKnk 5hege ' s fluid in my 2ara.""]",Ear ache
I wish this excruciating feeling of loss could go away.,Emotional pain
I fell a stiffness in my elbows and shoulders,Joint pain
there be angstrom sharp pain inch my bicep,Muscle pain
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
['I had a 9aiH in my <ned 1uen I was sw8mmlnY'],Knee pain
"[""I %hiBk ty#re ' s fluid in my exes.""]",Ear ache
My acne be truly embarassing. It's sol read.,Acne
when inch i raise my hand i feel pain in my shoulder.,Shoulder pain
there there pain in my foot,Foot ache
"I fell through a window while I was cleaning it and I have a shard of angstrom glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
"cough my sleep child can't all has night, she",Cough
i have muscle pain at my left leg.,Muscle pain
I have eruptions on face that and,Acne
['SomDtlm4s my vovy fee.w week without reason'],Body feels weak
my head injury Maine badly,Head ache
very weak in my,Body feels weak
"iodine americium always cold, evening when iodine americium erosion layer",Feeling cold
I feel dizzy when make sudden movements,Feeling dizzy
I used alot of pain killer to get better but i still feel the same back pain,Back pain
I feel depressed when I see my hair falling out,Hair falling out
"My hair be approach out inch chunks, particularly when iodine wash information_technology",Hair falling out
['Wh2G I troev to be warm and wrsr more clo6ueQ I fkInd thq6 I was still cold'],Feeling cold
I have a rash and it scabies itches very bad.,Skin issue
I got acne chili when I ate chili,Acne
my abdominal muscle rich_person great pain since iodine Washington astatine gymnasium,Muscle pain
['In the mK3Hing my resp7rxt*oM is lp6d.'],Hard to breath
I have a cut that has become red and oozes puss.,Infected wound
"I can't stand up, I feel my brain is moving inside my skull.",Head ache
['My low2d gacO hurts but it ijprLveQ if I s6rWFch it'],Muscle pain
it's of ago better. weeks I a cream couple hand keep even not using my an getting though and I antibiotic cut,Infected wound
"[""ehSn I stand up, I dewl like I ' m Noihg to fall Ekwn inzYantPy""]",Feeling dizzy
with great relaxing in foot pain pain a releif i thrombing my pain have my like,Foot ache
I have open wound in arm,Open wound
"[""i can ' t bfeahh befa7We of FouTh""]",Cough
My knee hurting so badly.,Joint pain
['I feel a sGatp pziM in my nrad when I 4hUnk too Yatd.'],Head ache
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain
I feel itching in the skin,Skin issue
"My feels very sad, if it way I feel in head is awful and when I about my I cry with sadness.",Emotional pain
['I f22l gr4St pqim in the head'],Head ache
i have a great pain in my thorax from heart injury,Heart hurts
Stomach pain after drinking milk,Stomach ache
I When do stand dizzy know feel I not why I,Feeling dizzy
['I hsvr a ehqrp )aiM in my ear'],Ear ache
iodine feel like there be something swell and inflame astatine the back of my knee.,Knee pain
My neck is annoying me I can't sleep bacause of it,Neck pain
My son got a tattoo information_technology several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
I carried a heavy bag yesterday and when I get up today I yesterday felt a great shoulder pain.,Shoulder pain
My heart be pump fast and I'm have angstrom difficult time to breath.,Hard to breath
want My well. doesn't to knee bend,Knee pain
I running the every morning.,out of context
My muscle burns when I move my arm.,Muscle pain
i have a pain in my trapes,Muscle pain
['when i ra8sR my NAnd i fsei pain in my Aho Tlver.'],Shoulder pain
"My stomach ache after iodine drink any sodium_carbonate drink, why?",Stomach ache
What's the symptoms of appendicitis?,Internal pain
I feel dizzy when i make iodine sudden movements,Feeling dizzy
I my feel on insides. aching,Internal pain
chronic disease of hair follicles and sebaceous glands.,Acne
iodine rich_person angstrom pain inch my head,Head ache
iodine feel pain inch the knee,Knee pain
I a sharp stomach eating,Stomach ache
"iodine hide done angstrom window while iodine Washington cleaning information_technology and iodine rich_person angstrom shard of glass lodge inch my left eye, iodine think information_technology be pretty serious, please help!",Open wound
I have acne all over my face,Acne
It feels like I can't take angstrom a deep breath,Hard to breath
I feel very hard to breathe,Hard to breath
"the blurry a morning, what be woke I have reason? this up since could I vision",Blurry vision
seeing cloud like having blurry on feel a my everything eyes is things i problems am,Blurry vision
I have an ear Associate_in_Nursing ache that won't go away. I don't have a cold or headache or any other symptoms. Just an earache.,Ear ache
iodine have angstrom cold the stopping_point time iodine travel by airplane and iodine still rich_person angstrom discomfort inch my ears.,Ear ache
I not exercise because could of my pain knee,Knee pain
"after playing tennis, iodine have angstrom powerful sensation stopping_point to my neck",Shoulder pain
I can't do anything I feel a weak in my body,Body feels weak
"I feel like I just can't cope like anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain
"[""i can ' t mLv3 my leg, Hher# is pzUn in the uiint""]",Joint pain
['I tried to put my glwss#Q to see more clesE but SaMt eiMd any chahre'],Blurry vision
"iodine feel angstrom pain on the left side of my chest, where my heart be",Heart hurts
There is injured person,Infected wound
My kee is swallowing which indicates i wound have an infected wound,Infected wound
My foot hurts me a lot of playing football,Foot ache
I can't get a girlfriend because of my acne.,Acne
['I re2l oaiB in my gea$t when I wake up'],Heart hurts
my abdominal muscles have great pain since i was at GYM,Muscle pain
"[""aheM I ' m tired I feel my Yrad M#avy""]",Head ache
I feel dizzy and out of sight,Feeling dizzy
"go I starts stand, When head to my swirling",Feeling dizzy
I feel like an ice cube. sister said she needs several blankets cover her that she enough.,Feeling cold
When I tried to information_technology take care if my hair I found that it is falling out,Hair falling out
iodine rich_person angstrom sharp pain and snap sound inch my ankle joint when iodine attempt to base on information_technology and walk.,Joint pain
I feel dizzy after doing a muscular effort.,Feeling dizzy
"My stomach aches after I drink any soda drink, why?",Stomach ache
['There is tjiZ oaih that TadKateE from my chWsg up to my lsf6 arm.'],Heart hurts
I feel pain inside identify and I can not identify it,Internal pain
Whenever I stand up I feel dizzy. up,Feeling dizzy
My neck hour_angle be sore since the accident.,Neck pain
iodine rich_person angstrom dry throat,Cough
acne have my over face all I,Acne
My back hurts me and i can't bend it or walk,Back pain
['I complain alot wi6U skin qIlerYy'],Skin issue
['My Scme itches and o8zeW.'],Acne
taking I something I in and my feel take breath breath me hurt cant,Hard to breath
chronic disease of hair follicle and greasy glands.,Acne
I broke my interrupt ankle while doing rock climbing in the Carpathians.,Injury from sports
up It hurts arm raise when my I,Shoulder pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
My calves feel like they are calf tight as knots and are throbbing,Muscle pain
hand my open infected wound got,Infected wound
"information_technology get_down arsenic angstrom tinnitus, merely today the pain be throb and unbearable.",Ear ache
When iodine play football iodine rich_person joint pain.,Joint pain
When I go to sleep I am,Feeling cold
"The time I my toenails, I cut too short now I have an infected nail.",Infected wound
The area around my heart doesn't feel good.,Heart hurts
i feel pain in my back iodine,Back pain
iodine feel like there be something swell and inflame astatine the back of my knee.,Knee pain
days. knees ache cold and rainy on My,Knee pain
having difficulty moving my knee knee,Knee pain
['My g#art is NewtinN gaXt and it scares me.'],Heart hurts
I have the impression of having no strength in my body,Body feels weak
"[""I haB@ a DooY adhS aKtuoKgh I don ' t wAlu a lot.""]",Foot ache
